method,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity
vae+kmeans,0.3781377673149109,424.68721114570815,0.8292702389610991,0.09229170138542404,0.13927239613390813,0.74
pca+kmeans,0.23702199757099152,125.20725156149149,1.5737123616494615,0.11254452993201275,0.16651987816359165,0.74
