method,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity
vae+kmeans,0.4930558502674103,700.4431794653613,0.5944054757085728,0.09413180580199194,0.143352748486198,0.74
vae+agglomerative,0.4753775894641876,636.0028091364677,0.5958287467777893,0.12863725208640717,0.1738609548867976,0.74
vae+dbscan,,,,0.0,0.0,0.5
